#    Lat      Long     Age       dt    Int-Kilauea  sd   rep
   19.3000  204.830  1970.00  5.00000  38.2565  2.80414 0
   19.3000  204.830  1970.00  5.00000  43.2639  8.41242 0
   19.6000  204.500  1972.00  1.00000  35.8203  8.98002 0
   19.6000  204.500  1977.00  1.00000  37.7161  1.89578 0
   19.6000  204.500  1982.00  2.00000  38.1152  2.09534 0
   19.4700  205.100  2000.00  1.00000  41.2745  0.499691 0
   19.3400  205.000  2009.00  1.00000  39.7391  4.20414 0
   19.3600  205.030  1990.00  1.00000  33.6248  3.30244 0
   19.5100  205.180  1960.00  1.00000  36.9589  1.69811 0
   19.4200  205.060  1955.00  1.00000  37.2000  3.80000 0
   19.2700  204.120  1950.00  1.00000  36.9682  0.901667 0
   19.6300  204.500  1935.00  1.00000  34.5104  1.59585 0
   19.1900  204.130  1926.00  1.00000  36.1020  0.401136 0
   19.2300  204.120  1919.00  1.00000  35.4829  0.400938 0
   19.0600  204.320  1868.00  1.00000  39.3738  2.71197 0
   19.5800  204.550  1855.00  1.00000  36.8272  1.09783 0
   19.6300  204.490  1843.00  1.00000  41.6917  1.69560 0
   19.4500  205.140  1790.00  1.00000  45.1833  4.19845 0
   19.3500  204.610  1530.00  130.000  39.2338  4.80414 0
   19.4600  205.070  1424.00  32.0000  43.6784  1.59921 0
   19.5000  204.870  1380.00  152.000  41.8587  1.69832 0
   19.2300  204.540  1323.00  58.0000  49.1147  1.70398 0
   19.1400  204.450  1135.00  85.0000  53.0825  2.91000 0
   19.1900  204.550  1090.00  68.0000  63.6799  1.80511 0
   19.6400  204.950  588.000  41.0000  44.0800  2.49322 0
   19.6900  204.530  463.000  112.000  40.5644  8.67101 0
   19.5400  204.190  425.000  203.000  37.2448  0.698965 0
   19.0600  204.320  1868.00  1.00000  38.2689  4.31906 0
   19.6600  204.880  747.000  61.0000  41.7759  1.19645 0
   19.5100  205.180  1960.00  1.00000  31.2653  5.39401 0
   19.4000  205.080  1955.00  1.00000  35.9089  5.90146 0
   19.5100  205.160  1960.00  1.00000  38.1576  9.98890 0
   19.2300  204.540  1323.00  58.0000  44.7044  3.20749 0
   19.1400  204.450  1135.00  85.0000  46.9614  7.02414 0
   19.3500  204.610  1530.00  130.000  39.2338  2.40207 0
