# Lat  Long  Age   dt    Int-Paris  sd    rep
# Comment lines begin with '#'
43.73 0.38 250.0 50.0 71.7 7.4 0
43.73 0.38 125.0 25.0 59.0 7.4 0
48.78 6.57 -672.0 129.0 86.7 6.9 0
42.699 2.896 -612.5 27.5 78.8 2.9 0
47.911 4.533 -571.0 178.0 66.7 5.6 0
47.780 4.810 -450.0 50.0 78.1 10.6 0
43.330 3.250 -437.5 87.5 74.2 3.0 0
43.500 5.620 -435.0 35.0 79.2 9.1 0
43.691 4.135 -293.5 92.5 70.6 3.4 0
50.375 1.920 -290.0 100.0 61.7 5.5 0
43.565 3.907 -275.0 25.0 77.3 2.9 0
50.450 1.700 -225.0 25.0 54.3 5.4 0
50.375 1.920 -225.0 135.0 60.8 4.4 0
44.831 -0.039 -190.0 20.0 52.5 4.6 0
44.831 -0.039 -190.0 20.0 69.0 4.6 0
43.267 3.500 -115.0 25.0 66.5 4.2 0
44.418 0.733 -100.0 25.0 62.9 8.1 0
44.418 0.733 -100.0 25.0 64.9 9.4 0
42.980 2.170 -100.0 50.0 42.1 4.8 0
48.620 7.500 -45.0 15.0 63.4 3.6 0
44.934 4.895 -40.0 10.0 64.6 4.8 0
46.810 6.800 -725.0 75.0 45.7 3.5 0
46.810 6.800 -725.0 75.0 77.2 4.0 0
46.830 6.880 -775.0 75.0 47.8 2.1 0
45.665 3.189 -925.0 50.0 63.6 5.7 0
45.665 3.189 -925.0 25.0 68.7 4.0 0
45.665 3.189 -850.0 50.0 59.8 4.2 0
45.665 3.189 -850.0 50.0 71.5 5.6 0
45.665 3.189 -875.0 75.0 61.7 5.5 0
46.600 6.500 -1025.0 105.0 48.9 3.5 0
47.600 7.600 -125.0 75.0 72.2 4.7 0
48.10 11.70 -710.0 90.0 72.6 7.3 0
48.10 11.70 -750.0 30.0 59.7 2.6 0
48.80 11.50 -600.0 60.0 94.0 6.2 0
48.80 11.50 -710.0 90.0 48.1 1.7 0
48.80 11.50 -710.0 90.0 53.8 6.5 0
48.10 11.40 -925.0 125.0 66.5 6.4 0
48.10 11.40 -875.0 75.0 57.5 3.8 0
48.10 11.40 -875.0 75.0 49.4 3.8 0
48.10 11.6 -410.0 50.0 73.0 8.0 0
48.10 11.6 -410.0 50.0 79.8 6.6 0
48.10 11.6 -370.0 50.0 60.8 0.8 0
48.10 11.6 -410.0 50.0 75.5 4.9 0
48.10 11.6 -490.0 50.0 87.6 2.5 0
