     Age(yr)        Int(microT)  1-sigma Int (microT)
  -2.1000000e+02   5.8036828e+01   6.0407235e+00
  -2.0000000e+02   5.7385363e+01   6.1585108e+00
  -1.9000000e+02   5.6855330e+01   5.6280818e+00
  -1.8000000e+02   5.6448337e+01   5.3002767e+00
  -1.7000000e+02   5.6158241e+01   5.0007009e+00
  -1.6000000e+02   5.5968190e+01   4.4101707e+00
  -1.5000000e+02   5.5849567e+01   4.2268104e+00
  -1.4000000e+02   5.5771048e+01   3.8674532e+00
  -1.3000000e+02   5.5693634e+01   3.6819763e+00
  -1.2000000e+02   5.5573653e+01   3.5536025e+00
  -1.1000000e+02   5.5370061e+01   3.4271917e+00
  -1.0000000e+02   5.5047018e+01   3.5348350e+00
  -9.0000000e+01   5.4586938e+01   3.4344103e+00
  -8.0000000e+01   5.4040234e+01   3.7291503e+00
  -7.0000000e+01   5.3474320e+01   3.9180873e+00
  -6.0000000e+01   5.2956831e+01   3.9919353e+00
  -5.0000000e+01   5.2554895e+01   4.2776928e+00
  -4.0000000e+01   5.2326151e+01   4.3844647e+00
  -3.0000000e+01   5.2296126e+01   4.8110660e+00
  -2.0000000e+01   5.2481925e+01   5.0264783e+00
  -1.0000000e+01   5.2869950e+01   5.3688118e+00
   0.0000000e+00   5.3415091e+01   5.9755687e+00
